P(Deceptive) = -0.69314718056
P(Truthful) = -0.69314718056
P(Positive) = -0.69314718056
P(Negative) = -0.69314718056

Before smoothing
Words                   Deceptive     Truthful      Positive      Negative      
located                 57            34            56            35            
fare                    3             6             6             3             
entree                  0             3             0             3             
luxuriously             2             0             1             1             
peeling                 1             10            0             11            
thunderstorm            0             1             1             0             
insufficient            0             1             0             1             
belongings              2             2             0             4             
engineering             0             1             0             1             
corral                  0             1             0             1             
bakery                  0             3             3             0             
scoot                   0             1             0             1             
swimming                10            8             14            4             
bathing                 0             1             0             1             
competing               0             1             0             1             
including               13            26            23            16            
condominiums            0             1             0             1             
mentioned               6             12            7             11            
skyauction              0             1             1             0             
bedsheets               2             1             0             3             
outer                   0             1             0             1             
broom                   0             1             0             1             
crannies                0             1             1             0             
emails                  1             5             0             6             
mansions                0             2             2             0             
ridiculously            3             2             0             5             
fronk                   0             1             0             1             
auto                    1             0             1             0             
damages                 1             0             0             1             
sweets                  1             1             2             0             
hands                   6             2             3             5             
front                   151           176           93            234           
handy                   4             5             6             3             
grumbling               1             0             0             1             
university              1             0             0             1             
slide                   1             1             0             2             
overcharged             2             1             0             3             
pools                   1             0             1             0             
shaking                 0             1             0             1             
upward                  0             1             0             1             
unwind                  3             0             3             0             
showering               1             1             1             1             
primehouse              3             2             4             1             
chunk                   1             0             0             1             
chicagoland             1             0             1             0             
aggravated              1             0             0             1             
exceeded                5             1             6             0             
separating              0             1             0             1             
special                 35            32            36            31            
swayed                  1             0             0             1             
lukewarm                5             3             0             8             
entertainment           7             1             8             0             
granddaughters          0             1             1             0             
shambles                0             1             0             1             
cause                   3             2             3             2             
umbrella                0             4             3             1             
wines                   2             1             2             1             
attending               3             10            6             7             
completely              22            18            12            28            
advisor                 0             7             3             4             
yorkers                 0             1             0             1             
drowning                1             0             1             0             
timey                   0             1             1             0             
route                   0             2             0             2             
diminished              1             0             0             1             
times                   27            50            15            62            
timee                   1             0             0             1             
housing                 0             1             1             0             
mad                     4             0             0             4             
powerful                1             0             1             0             
equinox                 1             1             2             0             
quality                 54            40            35            59            
playlist                1             0             1             0             
management              12            22            1             33            
privacy                 4             4             1             7             
bears                   2             3             5             0             
revealed                4             0             0             4             
occupancy               1             0             0             1             
attach                  0             1             0             1             
noooooo                 1             0             0             1             
ankle                   0             1             1             0             
perfectly               8             3             8             3             
tourists                2             3             2             3             
exactly                 10            7             4             13            
lists                   0             1             0             1             
approachable            1             0             1             0             
chemicals               2             0             1             1             
mohito                  0             1             1             0             
fuzzy                   1             1             0             2             
overwhelming            2             0             0             2             
herself                 0             3             0             3             
updating                2             6             2             6             
waist                   1             0             0             1             
catered                 1             2             2             1             
heartedly               1             0             1             0             
swindled                0             1             0             1             
photogenic              1             0             0             1             
beg                     1             0             0             1             
bed                     147           214           146           215           
ginos                   0             1             0             1             
frquently               0             1             1             0             
dumb                    0             1             0             1             
providing               0             3             0             3             
wheelchair              1             1             2             0             
bet                     0             1             0             1             
exhibit                 0             3             1             2             
lightly                 0             1             0             1             
horrors                 1             0             0             1             
portrait                0             1             0             1             
need                    48            55            48            55            
emptying                0             1             0             1             
screw                   1             2             0             3             
able                    55            46            52            49            
impecable               0             2             2             0             
makeover                1             0             0             1             
instance                0             2             1             1             
relatives               1             1             1             1             
jaunt                   1             0             1             0             
truck                   1             0             0             1             
birdland                2             0             2             0             
flushings               0             1             0             1             
twelveth                2             0             0             2             
nytimes                 0             1             1             0             
intentions              0             1             0             1             
connected               4             5             4             5             
awe                     0             1             1             0             
gallery                 1             0             1             0             
cellphone               1             1             0             2             
stereo                  0             3             3             0             
subtracted              0             1             0             1             
radiating               0             1             0             1             
upset                   5             5             1             9             
perk                    2             1             2             1             
scrambled               2             1             1             2             
construction            7             44            10            41            
talk                    6             9             4             11            
occuppied               0             1             0             1             
affair                  1             0             0             1             
indoor                  19            2             16            5             
anyway                  5             11            6             10            
parked                  0             4             3             1             
boutiquey               0             2             2             0             
ottoman                 0             2             0             2             
convieniently           0             1             1             0             
boutiques               1             2             1             2             
arrrival                0             1             1             0             
affects                 0             1             0             1             
based                   5             16            8             13            
unfinished              1             1             0             2             
tire                    0             1             0             1             
earned                  3             1             0             4             
holder                  0             4             0             4             
winner                  0             2             0             2             
credited                0             2             0             2             
brighten                0             1             0             1             
rash                    1             0             0             1             
employer                1             0             0             1             
won                     28            16            11            33            
ethan                   2             0             2             0             
inherited               0             1             0             1             
employee                9             13            5             17            
employed                1             0             1             0             
achieve                 1             0             1             0             
commendation            0             1             1             0             
indentations            1             0             0             1             
michigan                23            111           104           30            
overall                 75            51            58            68            
sipping                 1             1             1             1             
joint                   0             1             1             0             
buyer                   0             1             0             1             
sassy                   1             0             0             1             
years                   14            36            21            29            
procedures              1             0             0             1             
gray                    2             2             0             4             
places                  37            33            40            30            
trucks                  1             2             0             3             
hiring                  0             1             0             1             
shy                     0             2             1             1             
she                     96            93            35            154           
contain                 0             2             1             1             
tunes                   1             0             0             1             
grab                    4             2             3             3             
flogged                 1             0             0             1             
shrouded                1             0             0             1             
canine                  1             0             0             1             
operates                1             0             0             1             
irena                   0             1             0             1             
accused                 1             1             0             2             
powder                  1             0             0             1             
desperate               2             0             0             2             
operated                0             2             0             2             
fitfull                 1             0             0             1             
reconfirm               0             1             0             1             
spaiggia                0             1             0             1             
suberb                  0             1             1             0             
nightmare               9             2             0             11            
horribly                2             3             1             4             
tend                    1             2             1             2             
markups                 1             0             0             1             
abassador               2             0             0             2             
written                 3             6             2             7             
correctly               1             5             0             6             
horrible                22            11            1             32            
neither                 3             8             0             11            
comparable              0             6             1             5             
sole                    0             1             0             1             
tripadvisor             0             5             2             3             
sorely                  7             0             0             7             
hurrying                0             1             0             1             
interfere               1             0             0             1             
efficiency              0             1             1             0             
key                     28            15            3             40            
melds                   1             0             1             0             
police                  3             1             0             4             
precious                1             0             0             1             
monitor                 0             1             0             1             
hits                    1             0             1             0             
doubletree              0             1             0             1             
limits                  1             0             0             1             
enlivening              1             0             1             0             
minds                   2             0             0             2             
admit                   1             1             1             1             
bellboy                 3             1             1             3             
jersey                  1             0             0             1             
bearing                 0             1             0             1             
tuesday                 0             2             1             1             
invisible               1             1             1             1             
forefeited              1             0             0             1             
kings                   2             1             2             1             
quit                    1             0             0             1             
addition                6             7             1             12            
bricked                 1             0             1             0             
thanked                 1             0             0             1             
cent                    1             0             1             0             
slowly                  1             1             0             2             
treat                   11            7             8             10            
conciergies             0             1             1             0             
ship                    0             1             1             0             
isolating               0             1             0             1             
shoulders               2             1             1             2             
senses                  1             1             1             1             
bit                     33            61            43            51            
league                  0             1             0             1             
ours                    5             5             4             6             
smoking                 30            28            3             55            
brunch                  1             3             1             3             
associated              0             1             0             1             
license                 1             0             0             1             
televison               0             1             1             0             
harder                  1             0             0             1             
texas                   0             1             1             0             
periods                 0             1             0             1             
resident                1             0             0             1             
evelyn                  0             1             1             0             
surface                 0             2             0             2             
demi                    0             1             0             1             
bucks                   4             6             5             5             
capture                 0             1             0             1             
mysteriously            2             0             0             2             
sensitive               2             2             1             3             
generic                 3             2             2             3             
began                   10            4             1             13            
parts                   2             3             2             3             
speaker                 0             2             1             1             
underground             1             2             2             1             
wakeup                  1             1             0             2             
chigaco                 1             0             0             1             
http                    0             1             0             1             
impeccably              6             0             6             0             
rightfully              0             1             0             1             
nightly                 0             4             3             1             
sooner                  1             1             1             1             
discouraged             0             1             0             1             
frequently              2             7             1             8             
spree                   1             0             1             0             
impeccable              8             4             9             3             
single                  10            7             4             13            
energized               2             0             2             0             
ashley                  2             0             2             0             
i                       3186          2090          1920          3356          
nonetheless             0             1             0             1             
well                    123           158           162           119           
corporation             0             1             0             1             
englander               1             0             0             1             
advertises              5             0             0             5             
claiming                0             1             0             1             
accurate                5             0             1             4             
purifier                0             1             1             0             
tastfully               0             1             1             0             
mistaken                2             1             0             3             
sofie                   1             0             1             0             
hampon                  0             1             0             1             
distant                 1             0             0             1             
advertised              12            4             3             13            
ushered                 1             0             0             1             
lures                   0             1             1             0             
lured                   1             1             0             2             
developments            0             1             1             0             
riverside               1             0             1             0             
accomodate              2             1             3             0             
indignation             0             1             0             1             
kick                    1             2             2             1             
ample                   2             4             3             3             
livid                   1             0             0             1             
unfortunitly            0             1             0             1             
historic                5             15            11            9             
burden                  0             1             0             1             
canted                  0             1             0             1             
immediately             25            20            19            26            
prominent               1             0             0             1             
loss                    0             1             0             1             
lincoln                 1             1             2             0             
necessary               1             4             0             5             
lost                    14            17            7             24            
fingerprints            1             0             0             1             
dissatisfation          0             1             0             1             
sized                   20            12            18            14            
lose                    2             3             1             4             
lends                   0             1             1             0             
shed                    0             1             1             0             
glare                   0             1             1             0             
marveling               1             0             1             0             
shea                    0             3             3             0             
tempered                1             0             0             1             
repeat                  3             1             1             3             
warmer                  3             0             2             1             
cleveland               0             1             1             0             
home                    71            34            78            27            
liking                  3             2             1             4             
wallstreet              1             0             1             0             
delaware                0             2             1             1             
grinding                0             1             0             1             
weeknights              0             1             1             0             
demonstrated            0             1             0             1             
decline                 1             0             0             1             
journal                 0             1             0             1             
instinct                0             1             0             1             
refuge                  2             0             1             1             
recognized              1             0             1             0             
nightclub               0             2             0             2             
cancelation             0             1             0             1             
recognizes              0             2             1             1             
pastries                1             4             4             1             
equally                 2             1             1             2             
previously              6             6             2             10            
washington              0             6             1             5             
whimiscal               0             1             1             0             
congregate              0             1             0             1             
artists                 1             0             1             0             
couldnt                 0             1             0             1             
dug                     1             0             1             0             
pointless               0             1             0             1             
additional              12            16            10            18            
pc                      0             1             0             1             
lagged                  1             0             0             1             
noticed                 16            13            4             25            
accountant              0             1             0             1             
inner                   0             1             0             1             
compartments            0             1             0             1             
revised                 0             1             0             1             
north                   5             25            21            9             
hr                      0             2             0             2             
fountains               0             1             1             0             
blaming                 0             1             0             1             
strawberries            1             5             3             3             
gain                    2             0             0             2             
technician              0             1             1             0             
highest                 6             2             5             3             
eat                     20            24            24            20            
hd                      3             3             5             1             
he                      96            120           51            165           
cells                   0             1             0             1             
hosting                 4             1             2             3             
signed                  1             2             1             2             
converted               0             1             1             0             
limit                   0             1             0             1             
empty                   4             5             2             7             
inquired                1             1             1             1             
piece                   1             2             0             3             
display                 3             0             1             2             
beginning               6             3             2             7             
penny                   4             1             4             1             
kisses                  0             1             1             0             
hiltons                 0             1             0             1             
twist                   1             1             2             0             
bedspreads              1             2             1             2             
beats                   2             0             2             0             
erie                    1             0             1             0             
eric                    0             3             1             2             
balcony                 1             0             0             1             
diego                   0             1             0             1             
functions               0             1             0             1             
coffeepot               1             0             1             0             
propositioned           0             1             1             0             
crummy                  1             2             0             3             
febreeze                1             0             0             1             
treadmills              2             1             2             1             
star                    35            43            24            54            
astounding              1             0             1             0             
insults                 0             1             0             1             
additionally            4             2             1             5             
friends                 32            24            40            16            
yell                    0             1             0             1             
northbridge             0             1             1             0             
samsung                 0             1             1             0             
martin                  0             1             0             1             
riduculous              0             1             0             1             
portion                 3             2             2             3             
extras                  2             1             1             2             
shopped                 1             0             1             0             
liver                   0             1             0             1             
secondly                3             1             0             4             
pardon                  1             0             1             0             
newcomer                1             0             1             0             
asian                   1             2             3             0             
aides                   0             1             0             1             
consists                0             1             1             0             
patnership              1             0             1             0             
captain                 0             1             1             0             
fronts                  1             1             1             1             
buddy                   0             2             2             0             
aug                     0             2             2             0             
swam                    1             0             1             0             
remodeled               3             2             3             2             
contained               1             1             1             1             
presents                1             0             0             1             
swap                    0             1             0             1             
sorry                   11            9             1             19            
sway                    1             0             0             1             
saver                   1             0             1             0             
updated                 2             11            6             7             
vase                    1             0             0             1             
affect                  1             1             2             0             
vast                    2             0             2             0             
sarita                  0             1             0             1             
facilities              10            7             12            5             
skills                  0             1             1             0             
solution                2             0             0             2             
indefinitely            0             1             0             1             
convenience             6             0             4             2             
mopped                  0             1             0             1             
enhance                 1             0             1             0             
heading                 2             2             3             1             
clothes                 4             6             1             9             
winded                  0             1             0             1             
force                   1             0             0             1             
across                  12            28            21            19            
likely                  3             3             1             5             
even                    193           194           127           260           
preferences             1             2             1             2             
lights                  9             7             5             11            
reheating               0             1             1             0             
new                     56            57            37            76            
tips                    4             2             2             4             
ever                    105           55            81            79            
centric                 1             0             1             0             
screams                 1             0             0             1             
pancakes                0             1             1             0             
never                   123           141           54            210           
drew                    2             0             2             0             
accomedations           1             0             0             1             
met                     20            11            18            13            
active                  1             0             1             0             
dry                     6             3             4             5             
vulnerability           0             1             0             1             
ignoring                1             0             0             1             
credit                  12            33            3             42            
omar                    0             1             1             0             
floorboards             0             1             0             1             
permit                  1             0             0             1             
suitable                2             0             0             2             
menial                  1             0             0             1             
avene                   0             1             0             1             
fantastic               41            31            69            3             
poorest                 0             1             0             1             
bookit                  0             4             0             4             
slices                  0             1             0             1             
specifics               0             1             0             1             
guests                  51            51            34            68            
chaperones              1             0             0             1             
army                    1             0             0             1             
ratty                   0             1             0             1             
watering                1             0             1             0             
arms                    0             1             0             1             
leaks                   0             1             0             1             
call                    34            80            13            101           
calm                    0             1             1             0             
recommend               140           86            148           78            
leaky                   1             0             0             1             
type                    15            12            12            15            
tell                    17            28            13            32            
posting                 0             1             0             1             
lungs                   1             0             0             1             
warn                    1             1             0             2             
warm                    23            24            26            21            
adult                   1             3             1             3             
ward                    0             1             0             1             
room                    1121          1101          758           1464          
setup                   1             0             1             0             
roof                    2             10            5             7             
flors                   0             1             0             1             
guise                   0             1             1             0             
nightstand              0             1             0             1             
fresher                 1             0             0             1             
give                    40            32            28            44            
bellman                 3             10            3             10            
involve                 1             0             0             1             
foods                   1             2             2             1             
degenerate              1             0             0             1             
seoul                   0             1             1             0             
freshen                 1             0             0             1             
aging                   0             1             0             1             
amazing                 72            25            86            11            
bathrobes               4             4             8             0             
answer                  5             6             0             11            
faulty                  0             1             0             1             
recompense              0             1             0             1             
untill                  0             2             0             2             
briefcase               2             0             0             2             
undergoing              1             2             0             3             
loyalty                 0             5             4             1             
waterfront              0             4             2             2             
president               0             1             0             1             
purchase                1             2             0             3             
attempt                 3             3             0             6             
third                   4             10            2             12            
recieved                2             2             0             4             
longingly               0             1             0             1             
maintain                1             1             1             1             
frequent                6             9             8             7             
ressies                 1             0             0             1             
ethernet                1             1             0             2             
operate                 0             1             1             0             
documents               0             1             0             1             
excutive                0             1             1             0             
deco                    1             2             2             1             
deck                    3             1             1             3             
responsive              5             3             3             5             
imressive               0             1             1             0             
before                  91            79            50            120           
chihuahua               1             0             1             0             
personal                27            10            14            23            
soaking                 2             2             3             1             
crew                    3             3             0             6             
better                  103           115           60            158           
differently             0             1             0             1             
weeks                   13            12            6             19            
overcome                0             1             0             1             
pleasurable             2             1             2             1             
combination             2             1             2             1             
workout                 18            11            22            7             
nightclubs              1             0             0             1             
runny                   1             1             1             1             
therapy                 4             0             3             1             
indulge                 2             0             1             1             
downright               1             1             1             1             
